time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-3.04903019023e-07,2.70052588993e-07,10.0043862138,0.000246287546219,6.2826786515,0.0,5.43631696682e-06,2.35560884381e-05,0.146198877789,0.0112585366826,-0.036333387081,0.0,453.1275639812292,450.19782345754544,450.52058446638006,451.42974360706023
0.12000000000000001,1.7003495014e-05,8.71797848312e-06,10.014476519,0.000549415072826,6.28079609701,0.0,0.000760453119202,0.000308039607831,0.190137669165,-0.0117873612403,-0.0229543519333,0.0,417.9234739600673,419.0873270255072,420.0250855954527,418.02196629085466
0.18,0.000120158268898,3.62894897623e-05,10.0300794033,6.28294797745,6.27965628554,0.0,0.00281269465813,0.000530546193669,0.329927400756,-0.0159036498111,-0.0120697366634,0.0,448.6218012540489,449.5046150674662,449.90817287927814,449.57495033446924
0.23999999999999996,0.000367600067373,5.92234950795e-05,10.0537123654,6.28199460742,6.27900005336,0.0,0.00550836532101,0.000132706140547,0.45779448384,-0.0158612182652,-0.00876325445638,0.0,445.4992200309066,445.7695757926703,445.94429095143687,445.94785145494416
0.3,0.000793611740068,3.66978974412e-05,10.0859428693,6.28057981927,6.27793016804,0.0,0.0087640016292,-0.00100537920222,0.616482423202,-0.0471965648704,-0.050437862642,0.0,457.20653612827476,453.87443460280883,456.48130802896145,453.9740769131298
0.36000000000000004,0.00143280142,-8.44307853621e-05,10.1247662195,6.27796276527,6.27491620191,0.0,0.0128327953912,-0.00329355979812,0.677591838432,-0.0372809031384,-0.0498258489773,0.0,424.8271537463136,424.87789958557966,424.30932157620003,425.1584100992119
0.4200000000000001,0.00240621960037,-0.000411502105369,10.1708437229,6.27619890184,6.27145790254,0.0,0.0199710793198,-0.00783216391629,0.858201737533,-0.0170458899986,-0.0817430553184,0.0,464.0683141394495,461.5540262634149,460.9457910556319,462.5415941973779
0.48000000000000015,0.00387161028121,-0.00103240008726,10.2258173689,6.27573746744,6.26617077786,0.0,0.0294009826306,-0.0129363882103,0.97415331961,0.00642825108079,-0.10560301258,0.0,444.30642466046913,442.3393700859442,441.1496512613853,443.0835545023785
0.5400000000000001,0.00600430304919,-0.00195803811453,10.2868911128,6.27629599832,6.2601226077,0.0,0.0423060013636,-0.0178697461176,1.06154891424,0.0145239258622,-0.0926152100499,0.0,433.49372019337716,434.5744443240998,433.42680971513664,434.10647054843434
0.6000000000000002,0.00915485983575,-0.00320124814323,10.3583323072,6.27685949286,6.25455135442,0.0,0.0634038243215,-0.0234753315524,1.31954528385,-0.00361534867659,-0.0933362260656,0.0,484.9925190466917,484.9318759326681,487.030254531484,485.67171763847705
0.6600000000000003,0.0136222945506,-0.00475088186612,10.4421907426,6.27740351751,6.24882916577,0.0,0.0861288790138,-0.0281513350426,1.4755275458,0.0267491745168,-0.0997797155492,0.0,456.7047282931153,456.1830501431924,454.6325393535493,457.05869175208693
0.7200000000000003,0.0194893130347,-0.00654781396111,10.532782693,6.27931433629,6.24310411383,0.0,0.110003855843,-0.031573196381,1.54409261101,0.0404716413231,-0.0878793797151,0.0,429.0640683791349,430.06493780270597,428.12296190288134,429.28924621488494
0.7800000000000004,0.0269367032177,-0.00851225150191,10.6284092687,6.28223485696,6.23832193491,0.0,0.138744886018,-0.0336314020063,1.64329996783,0.0614208720427,-0.0669939667859,0.0,437.176448961518,438.9076707394904,439.4930286807758,441.2272316702533
0.8400000000000004,0.036204054644,-0.0105341477426,10.7300212521,0.00377463026904,6.23479381246,0.0,0.170540740479,-0.0333230717076,1.74359815383,0.100603402663,-0.046072084864,0.0,438.75234754866955,440.4831786049168,438.54694882713983,441.793818218137
0.9000000000000005,0.0473617036608,-0.0124409313938,10.8358953945,0.00996024317497,6.23231628643,0.0,0.201620178213,-0.0296658209093,1.78545761643,0.107655506241,-0.0331303190859,0.0,421.354617915119,422.47084798929325,420.5128676485394,421.1331320224998
0.9600000000000005,0.060690568068,-0.0139521448834,10.9493902751,0.0169711114634,6.22998810439,0.0,0.24290778158,-0.0199085175887,1.99733277873,0.130766903203,-0.053655660493,0.0,474.7727041538517,473.1946584337363,473.98003653887275,475.7637474330488
1.0200000000000005,0.0765249462729,-0.0147146803057,11.0749818269,0.0253649160939,6.226397884,0.0,0.285272718114,-0.00457349492975,2.18866121712,0.15374069366,-0.0765673742642,0.0,469.3646637827061,467.58072084070545,468.9293411221115,470.7271164815451
1.0800000000000005,0.0949479959919,-0.0143758646148,11.2112982624,0.0342800225266,6.22156597818,0.0,0.32933338151,0.0168741112352,2.35482618803,0.13552310059,-0.0899466582324,0.0,463.0206084330913,461.9618404003749,463.1262366394305,461.7107668522433
1.1400000000000006,0.115909667492,-0.0126771825432,11.3541044302,0.0423072453541,6.21600124394,0.0,0.369898533625,0.0405083181307,2.40520515972,0.130071259264,-0.0990258530654,0.0,426.977457097626,426.19448588931573,427.5623993928414,427.11494730159745
1.2000000000000006,0.139811404766,-0.00915335550761,11.5057342258,0.0496820451621,6.21009892488,0.0,0.42751658355,0.0778693654265,2.64848310394,0.102092100671,-0.0970962760314,0.0,486.7259306313009,486.862928038013,487.0080487122747,484.9227286408631
1.2600000000000007,0.167423477289,-0.00313908569059,11.6733764955,0.0554237532335,6.20429681012,0.0,0.493587013805,0.123345191069,2.93877534315,0.0781268998048,-0.0959252092067,0.0,500.852368436108,500.9306954178293,501.9268762288419,500.19111422311954
